ID,ResultCounts
2764,199
2758,201
2739,199
313,1067
314,1041
1304,249
1323,249
1297,249
259,16684
577,1289
4208,155
1543,16845
9495,32
3499,11
1580,254
1622,360
1602,360
1631,359
260,16745
3171,143
3169,143
2171,500
2208,495
296,5256
3730,394
3513,870
3325,71
3800,41214
3158,6
3470,583
3505,293
11205,213
280,42201
63,14466
1213,4232
1051,2934
856,2109
11171,1469
3603,1278
652,969
562,646
11206,286
7175,332
297,4183
1311,4
298,6581
2447,204
2463,333
2435,335
2451,335
66,1826
73,4868
9517,1121
8011,340
9202,83
8906,1418
8071,263
10808,4033
10875,1339
9431,93
10871,1339
80,1839
81,1861
311,3789
67,15347
89,16328
2262,691
8058,617
5658,116
295,2735
6297,1639
5131,584
5603,376
358,518
3116,148
5227,279
10882,1481
7168,126
6159,606
9825,570
3933,7950
10973,24734
3230,680
2975,29
4180,84
3280,359
1792,4
1680,103
3344,150
3339,150
82,13926
3316,526
3353,157
604,8677
487,2174
1273,1495
433,1332
2545,2350
7758,301
9888,34
10856,1465
9165,265
3389,2309
3454,1141
3477,1650
3398,277
3531,1086
3232,652
3528,132
3247,95
3401,886
10193,170
9805,559
10335,144
3212,54
1415,77
3281,137
2984,226
3371,157
3276,296
3403,1690
2438,322
1337,62
10330,441
9556,13
8275,159
3428,1548
3364,6
3459,1557
3432,1435
3467,2281
3481,886
844,5373
583,560
3718,2422
3168,41
3541,1074
2794,47
3407,104
3193,180
3501,1378
3487,2333
256,7936
10650,5815
2937,525
2952,203
2957,587
2959,563
2961,705
3610,1278
2989,67
3619,1333
2948,563
2992,210
4080,273
3794,5321
4562,678
5415,513
9591,57
8351,636
5399,509
5777,316
5166,320
2996,720
3049,164
11181,1635
11178,690
3592,50
3292,248
3167,147
3165,65
3065,30
3166,128
6057,276
3662,48
3177,149
1210,279
9696,154
3572,78
1634,767
1710,769
3612,1290
3614,1290
3606,1311
294,6470
3576,555
3677,59
3382,81
6846,348
3582,555
11059,603
3563,10
3590,2
3583,101
3564,9
3559,546
3585,27
3578,96
300,4001
334,3153
2417,335
5751,144
2766,164
6564,589
10616,5584
3670,25
2769,4
10231,780
10139,164
8315,27
10120,268
5252,384
2803,397
2814,374
6441,83
6176,396
9521,85
3856,36440
4181,179
8986,157
7393,12
5121,698
2866,228
2876,138
2891,226
2905,3902
346,1629
3674,50
9811,428
3679,124
367,706
370,477
3099,664
3119,678
3146,126
3150,158
4383,16
9840,301
3069,39
5583,104
5502,19309
83,8780
84,6319
7409,852
8294,103
93,1729
174,6278
179,60
185,306
186,306
188,144
191,252
192,6315
193,211
197,98
198,161
199,6362
200,163
204,306
205,75
206,306
207,168
208,154
209,6334
212,81
213,306
215,98
1,17199
3515,433
7987,735
4968,71
7791,250
5888,78
3,13818
4,10316
6,5674
2702,61
7,5414
8390,41
5,7080
2,4772
8,1383
1334,87
2354,102
11,2971
14,1019
12,1840
9,1537
10,2212
30,1581
16,326
26,610
35,547
2618,848
1457,74
39,272
32,635
27,256
13,2417
33,1136
38,593
36,447
40,303
21,740
34,497
37,473
74,24598
170,3913
1924,46
11052,4300
10717,9670
5072,982
5468,582
5094,399
4052,165
6118,590
10984,10842
9028,238
9240,156
1597,359
6718,135
11083,182
64,3812
10423,1055
2479,14
1439,128
7344,16
4573,65
484,19424
553,14579
994,47150
11055,1886
11180,1804
11176,1776
472,2066
11056,1438
257,10154
4677,292
258,8468
7508,106
7610,43
5055,1056
5394,387
6723,112
9380,68
86,5823
88,16875
11080,16875
70,6349
71,1951
2350,44
7637,97
9461,27
9641,49
79,1183
2677,73
2292,620
1728,21
4096,199
3988,6097
5152,249
7007,55
6769,84
90,1323
95,318
3038,98
10248,266
2257,365
8116,318
3072,13
122,688
123,688
137,463
3321,194
7404,239
145,886
146,886
149,238
5023,153
7523,509
9982,560
7145,100
1000,12752
290,3569
165,535
1300,249
3460,461
1295,249
303,4693
904,3008
898,3401
901,1344
325,1493
4219,427
10564,3473
11071,382
9422,979
11072,618
109,4149
8075,283
9688,268
5299,281
5538,326
5841,311
6869,233
7776,159
7149,372
255,2086
261,809
262,832
264,587
10266,121
265,2086
263,1117
266,1163
267,258
268,288
269,481
270,481
271,1163
272,1163
273,234
275,175
10211,341
7551,227
10528,964
7317,32
8144,1511
7882,59
10855,14321
10684,9348
8323,91
62,3350
111,2322
219,199
220,127
226,108
227,123
228,134
231,199
239,2416
242,233
52,6722
775,1188
172,485
8370,349
8883,1260
8904,1982
7746,288
6871,341
8910,2033
1747,94
65,4318
6389,187
5564,69
9662,202
5018,16
10772,5295
6273,117
6829,196
409,1458
10565,129
10567,29
11051,62
11058,51
2979,302
5390,4520
6091,3905
11060,193
58,1738
59,29559
60,6534
376,3521
379,542
382,1453
385,719
388,1612
391,395
394,536
397,504
400,1245
403,540
406,99
51,8210
57,4048
56,1961
92,1055
253,193
254,854
310,767
293,319
61,27487
5836,308
9824,558
10545,839
4949,238
7543,561
7150,333
68,3180
949,2795
9800,470
4711,241
5759,249
4769,75
8966,317
8062,153
7794,1978
5481,354
321,1038
330,2915
327,27487
322,797
1661,767
324,208
1723,38
1556,271
1561,16308
328,1019
331,2306
332,2306
323,3684
8153,1521
7194,308
2409,69
2124,17086
2156,490
2051,280
2383,198
1985,2360
2320,47
2099,16762
2298,619
2073,37
